Radio,Antena,Profundidad (cm),Permitividad Suelo,Permitividad Ramas
0.002,MALA 1200,10,21,7
0.002,MALA 1200,10,21,15
0.002,MALA 1200,10,21,25
0.002,MALA 1200,10,17,7
0.002,MALA 1200,10,17,15
0.002,MALA 1200,10,17,25
0.002,MALA 1200,10,13,7
0.002,MALA 1200,10,13,15
0.002,MALA 1200,10,13,25
0.002,MALA 1200,20,21,7
0.002,MALA 1200,20,21,15
0.002,MALA 1200,20,21,25
0.002,MALA 1200,20,17,7
0.002,MALA 1200,20,17,15
0.002,MALA 1200,20,17,25
0.002,MALA 1200,20,13,7
0.002,MALA 1200,20,13,15
0.002,MALA 1200,20,13,25
0.002,MALA 1200,30,21,7
0.002,MALA 1200,30,21,15
0.002,MALA 1200,30,21,25
0.002,MALA 1200,30,17,7
0.002,MALA 1200,30,17,15
0.002,MALA 1200,30,17,25
0.002,MALA 1200,30,13,7
0.002,MALA 1200,30,13,15
0.002,MALA 1200,30,13,25
0.002,GSSI 400,10,21,7
0.002,GSSI 400,10,21,15
0.002,GSSI 400,10,21,25
0.002,GSSI 400,10,17,7
0.002,GSSI 400,10,17,15
0.002,GSSI 400,10,17,25
0.002,GSSI 400,10,13,7
0.002,GSSI 400,10,13,15
0.002,GSSI 400,10,13,25
0.002,GSSI 400,20,21,7
0.002,GSSI 400,20,21,15
0.002,GSSI 400,20,21,25
0.002,GSSI 400,20,17,7
0.002,GSSI 400,20,17,15
0.002,GSSI 400,20,17,25
0.002,GSSI 400,20,13,7
0.002,GSSI 400,20,13,15
0.002,GSSI 400,20,13,25
0.002,GSSI 400,30,21,7
0.002,GSSI 400,30,21,15
0.002,GSSI 400,30,21,25
0.002,GSSI 400,30,17,7
0.002,GSSI 400,30,17,15
0.002,GSSI 400,30,17,25
0.002,GSSI 400,30,13,7
0.002,GSSI 400,30,13,15
0.002,GSSI 400,30,13,25
0.002,GSSI 1500,10,21,7
0.002,GSSI 1500,10,21,15
0.002,GSSI 1500,10,21,25
0.002,GSSI 1500,10,17,7
0.002,GSSI 1500,10,17,15
0.002,GSSI 1500,10,17,25
0.002,GSSI 1500,10,13,7
0.002,GSSI 1500,10,13,15
0.002,GSSI 1500,10,13,25
0.002,GSSI 1500,20,21,7
0.002,GSSI 1500,20,21,15
0.002,GSSI 1500,20,21,25
0.002,GSSI 1500,20,17,7
0.002,GSSI 1500,20,17,15
0.002,GSSI 1500,20,17,25
0.002,GSSI 1500,20,13,7
0.002,GSSI 1500,20,13,15
0.002,GSSI 1500,20,13,25
0.002,GSSI 1500,30,21,7
0.002,GSSI 1500,30,21,15
0.002,GSSI 1500,30,21,25
0.002,GSSI 1500,30,17,7
0.002,GSSI 1500,30,17,15
0.002,GSSI 1500,30,17,25
0.002,GSSI 1500,30,13,7
0.002,GSSI 1500,30,13,15
0.002,GSSI 1500,30,13,25
R7,MALA 1200,10,21,7
R7,MALA 1200,10,21,15
R7,MALA 1200,10,21,25
R7,MALA 1200,10,17,7
R7,MALA 1200,10,17,15
R7,MALA 1200,10,17,25
R7,MALA 1200,10,13,7
R7,MALA 1200,10,13,15
R7,MALA 1200,10,13,25
R7,MALA 1200,20,21,7
R7,MALA 1200,20,21,15
R7,MALA 1200,20,21,25
R7,MALA 1200,20,17,7
R7,MALA 1200,20,17,15
R7,MALA 1200,20,17,25
R7,MALA 1200,20,13,7
R7,MALA 1200,20,13,15
R7,MALA 1200,20,13,25
R7,MALA 1200,30,21,7
R7,MALA 1200,30,21,15
R7,MALA 1200,30,21,25
R7,MALA 1200,30,17,7
R7,MALA 1200,30,17,15
R7,MALA 1200,30,17,25
R7,MALA 1200,30,13,7
R7,MALA 1200,30,13,15
R7,MALA 1200,30,13,25
R7,GSSI 400,10,21,7
R7,GSSI 400,10,21,15
R7,GSSI 400,10,21,25
R7,GSSI 400,10,17,7
R7,GSSI 400,10,17,15
R7,GSSI 400,10,17,25
R7,GSSI 400,10,13,7
R7,GSSI 400,10,13,15
R7,GSSI 400,10,13,25
R7,GSSI 400,20,21,7
R7,GSSI 400,20,21,15
R7,GSSI 400,20,21,25
R7,GSSI 400,20,17,7
R7,GSSI 400,20,17,15
R7,GSSI 400,20,17,25
R7,GSSI 400,20,13,7
R7,GSSI 400,20,13,15
R7,GSSI 400,20,13,25
R7,GSSI 400,30,21,7
R7,GSSI 400,30,21,15
R7,GSSI 400,30,21,25
R7,GSSI 400,30,17,7
R7,GSSI 400,30,17,15
R7,GSSI 400,30,17,25
R7,GSSI 400,30,13,7
R7,GSSI 400,30,13,15
R7,GSSI 400,30,13,25
R7,GSSI 1500,10,21,7
R7,GSSI 1500,10,21,15
R7,GSSI 1500,10,21,25
R7,GSSI 1500,10,17,7
R7,GSSI 1500,10,17,15
R7,GSSI 1500,10,17,25
R7,GSSI 1500,10,13,7
R7,GSSI 1500,10,13,15
R7,GSSI 1500,10,13,25
R7,GSSI 1500,20,21,7
R7,GSSI 1500,20,21,15
R7,GSSI 1500,20,21,25
R7,GSSI 1500,20,17,7
R7,GSSI 1500,20,17,15
R7,GSSI 1500,20,17,25
R7,GSSI 1500,20,13,7
R7,GSSI 1500,20,13,15
R7,GSSI 1500,20,13,25
R7,GSSI 1500,30,21,7
R7,GSSI 1500,30,21,15
R7,GSSI 1500,30,21,25
R7,GSSI 1500,30,17,7
R7,GSSI 1500,30,17,15
R7,GSSI 1500,30,17,25
R7,GSSI 1500,30,13,7
R7,GSSI 1500,30,13,15
R7,GSSI 1500,30,13,25
0.03,MALA 1200,10,21,7
0.03,MALA 1200,10,21,15
0.03,MALA 1200,10,21,25
0.03,MALA 1200,10,17,7
0.03,MALA 1200,10,17,15
0.03,MALA 1200,10,17,25
