Simulation No.,Radius,Depth (cm),Soil Permittivity,Root Permittivity,Antenna,Folder Name
2,0.002,10,21,15,GSSI 1500,radius_0.002_depth_10_soil_21_root_15_antenna_GSSI1500
3,0.002,10,21,25,GSSI 1500,radius_0.002_depth_10_soil_21_root_25_antenna_GSSI1500
4,0.002,10,17,7,GSSI 1500,radius_0.002_depth_10_soil_17_root_7_antenna_GSSI1500
5,0.002,10,17,15,GSSI 1500,radius_0.002_depth_10_soil_17_root_15_antenna_GSSI1500
6,0.002,10,17,25,GSSI 1500,radius_0.002_depth_10_soil_17_root_25_antenna_GSSI1500
7,0.002,10,13,7,GSSI 1500,radius_0.002_depth_10_soil_13_root_7_antenna_GSSI1500
8,0.002,10,13,15,GSSI 1500,radius_0.002_depth_10_soil_13_root_15_antenna_GSSI1500
9,0.002,10,13,25,GSSI 1500,radius_0.002_depth_10_soil_13_root_25_antenna_GSSI1500
10,0.002,20,21,7,GSSI 1500,radius_0.002_depth_20_soil_21_root_7_antenna_GSSI1500
11,0.002,20,21,15,GSSI 1500,radius_0.002_depth_20_soil_21_root_15_antenna_GSSI1500
12,0.002,20,21,25,GSSI 1500,radius_0.002_depth_20_soil_21_root_25_antenna_GSSI1500
13,0.002,20,17,7,GSSI 1500,radius_0.002_depth_20_soil_17_root_7_antenna_GSSI1500
14,0.002,20,17,15,GSSI 1500,radius_0.002_depth_20_soil_17_root_15_antenna_GSSI1500
15,0.002,20,17,25,GSSI 1500,radius_0.002_depth_20_soil_17_root_25_antenna_GSSI1500
16,0.002,20,13,7,GSSI 1500,radius_0.002_depth_20_soil_13_root_7_antenna_GSSI1500
17,0.002,20,13,15,GSSI 1500,radius_0.002_depth_20_soil_13_root_15_antenna_GSSI1500
18,0.002,20,13,25,GSSI 1500,radius_0.002_depth_20_soil_13_root_25_antenna_GSSI1500
19,0.002,30,21,7,GSSI 1500,radius_0.002_depth_30_soil_21_root_7_antenna_GSSI1500
20,0.002,30,21,15,GSSI 1500,radius_0.002_depth_30_soil_21_root_15_antenna_GSSI1500
21,0.002,30,21,25,GSSI 1500,radius_0.002_depth_30_soil_21_root_25_antenna_GSSI1500
22,0.002,30,17,7,GSSI 1500,radius_0.002_depth_30_soil_17_root_7_antenna_GSSI1500
23,0.002,30,17,15,GSSI 1500,radius_0.002_depth_30_soil_17_root_15_antenna_GSSI1500
24,0.002,30,17,25,GSSI 1500,radius_0.002_depth_30_soil_17_root_25_antenna_GSSI1500
25,0.002,30,13,7,GSSI 1500,radius_0.002_depth_30_soil_13_root_7_antenna_GSSI1500
26,0.002,30,13,15,GSSI 1500,radius_0.002_depth_30_soil_13_root_15_antenna_GSSI1500
27,0.002,30,13,25,GSSI 1500,radius_0.002_depth_30_soil_13_root_25_antenna_GSSI1500
82,R7,10,21,7,GSSI 1500,radius_R7_depth_10_soil_21_root_7_antenna_GSSI1500
